# time passed	number of events	moving average
7.5	232.0	232.0
15.0	240.0	236.0
22.5	245.0	239.0
30.0	226.0	235.75
37.5	223.0	233.2
45.0	218.0	230.66666666666666
52.5	207.0	227.28571428571428
60.0	235.0	228.25
67.5	260.0	231.77777777777777
75.0	218.0	230.4
82.5	207.0	228.27272727272728
90.0	259.0	230.83333333333334
97.5	245.0	231.92307692307693
105.0	269.0	234.57142857142858
112.5	229.0	234.2
120.0	246.0	234.9375
127.5	234.0	234.88235294117646
135.0	232.0	234.72222222222223
142.5	213.0	233.57894736842104
150.0	230.0	233.4
157.5	237.0	233.57142857142858
165.0	226.0	233.22727272727272
172.5	242.0	233.6086956521739
180.0	238.0	233.79166666666666
187.5	249.0	234.4
195.0	202.0	233.15384615384616
202.5	246.0	233.62962962962962
210.0	244.0	234.0
217.5	226.0	233.72413793103448
225.0	215.0	233.1
232.5	273.0	234.38709677419354
240.0	236.0	234.4375
247.5	248.0	234.84848484848484
255.0	213.0	234.2058823529412
262.5	226.0	233.97142857142856
270.0	224.0	233.69444444444446
277.5	237.0	233.78378378378378
285.0	230.0	233.68421052631578
292.5	256.0	234.25641025641025
300.0	230.0	234.15
307.5	240.0	234.29268292682926
315.0	243.0	234.5
322.5	232.0	234.4418604651163
330.0	237.0	234.5
337.5	230.0	234.4
345.0	222.0	234.1304347826087
352.5	237.0	234.19148936170214
360.0	230.0	234.10416666666666
367.5	240.0	234.22448979591837
375.0	235.0	234.24
382.5	240.0	234.35294117647058
390.0	232.0	234.30769230769232
397.5	222.0	234.0754716981132
405.0	244.0	234.25925925925927
412.5	234.0	234.25454545454545
420.0	253.0	234.58928571428572
427.5	257.0	234.98245614035088
435.0	241.0	235.08620689655172
442.5	234.0	235.0677966101695
450.0	234.0	235.05
457.5	232.0	235.0
465.0	224.0	234.82258064516128
472.5	257.0	235.17460317460316
480.0	222.0	234.96875
487.5	228.0	234.86153846153846
495.0	232.0	234.8181818181818
502.5	228.0	234.71641791044777
510.0	193.0	234.10294117647058
517.5	239.0	234.17391304347825
525.0	241.0	234.27142857142857
532.5	250.0	234.49295774647888
540.0	244.0	234.625
547.5	224.0	234.4794520547945
555.0	249.0	234.67567567567568
562.5	238.0	234.72
570.0	214.0	234.44736842105263
577.5	262.0	234.80519480519482
585.0	232.0	234.76923076923077
592.5	233.0	234.74683544303798
600.0	212.0	234.4625
607.5	229.0	234.39506172839506
615.0	221.0	234.23170731707316
622.5	236.0	234.25301204819277
630.0	249.0	234.42857142857142
637.5	231.0	234.38823529411764
645.0	237.0	234.41860465116278
652.5	269.0	234.816091954023
660.0	255.0	235.04545454545453
667.5	246.0	235.1685393258427
675.0	218.0	234.9777777777778
682.5	228.0	234.9010989010989
690.0	232.0	234.8695652173913
697.5	251.0	235.04301075268816
705.0	216.0	234.8404255319149
712.5	233.0	234.82105263157894
720.0	217.0	234.63541666666666
727.5	222.0	234.50515463917526
735.0	215.0	234.30612244897958
742.5	209.0	234.05050505050505
750.0	232.0	234.03
757.5	236.0	234.04950495049505
765.0	226.0	233.97058823529412
772.5	247.0	234.09708737864077
780.0	253.0	234.27884615384616
787.5	212.0	234.06666666666666
795.0	255.0	234.26415094339623
802.5	231.0	234.2336448598131
810.0	231.0	234.2037037037037
817.5	240.0	234.25688073394497
825.0	224.0	234.16363636363636
832.5	231.0	234.13513513513513
840.0	233.0	234.125
847.5	246.0	234.23008849557522
855.0	220.0	234.10526315789474
862.5	265.0	234.37391304347827
870.0	246.0	234.47413793103448
877.5	263.0	234.71794871794873
885.0	243.0	234.78813559322035
892.5	240.0	234.83193277310923
900.0	225.0	234.75
907.5	237.0	234.76859504132233
915.0	240.0	234.81147540983608
922.5	235.0	234.8130081300813
930.0	219.0	234.68548387096774
937.5	233.0	234.672
945.0	266.0	234.9206349206349
952.5	232.0	234.89763779527559
960.0	252.0	235.03125
967.5	247.0	235.12403100775194
975.0	223.0	235.03076923076924
982.5	216.0	234.8854961832061
990.0	222.0	234.78787878787878
997.5	239.0	234.81954887218046
1005.0	240.0	234.8582089552239
1012.5	226.0	234.7925925925926
1020.0	235.0	234.7941176470588
1027.5	239.0	234.82481751824818
1035.0	248.0	234.92028985507247
1042.5	275.0	235.20863309352518
1050.0	261.0	235.39285714285714
1057.5	253.0	235.5177304964539
1065.0	227.0	235.45774647887325
1072.5	231.0	235.4265734265734
1080.0	231.0	235.39583333333334
1087.5	227.0	235.33793103448275
1095.0	224.0	235.26027397260273
1102.5	253.0	235.38095238095238
1110.0	243.0	235.43243243243242
1117.5	231.0	235.40268456375838
1125.0	234.0	235.39333333333335
1132.5	246.0	235.46357615894038
1140.0	226.0	235.40131578947367
1147.5	229.0	235.359477124183
1155.0	226.0	235.2987012987013
1162.5	245.0	235.36129032258066
1170.0	225.0	235.2948717948718
1177.5	244.0	235.35031847133757
1185.0	267.0	235.5506329113924
1192.5	213.0	235.40880503144655
1200.0	222.0	235.325
1207.5	222.0	235.24223602484471
1215.0	223.0	235.16666666666666
1222.5	265.0	235.34969325153375
1230.0	232.0	235.32926829268294
1237.5	232.0	235.3090909090909
1245.0	217.0	235.1987951807229
1252.5	260.0	235.34730538922156
1260.0	230.0	235.3154761904762
1267.5	257.0	235.44378698224853
1275.0	202.0	235.24705882352941
1282.5	233.0	235.23391812865498
1290.0	232.0	235.21511627906978
1297.5	258.0	235.34682080924856
1305.0	231.0	235.32183908045977
1312.5	231.0	235.29714285714286
1320.0	234.0	235.28977272727272
1327.5	224.0	235.22598870056498
1335.0	226.0	235.17415730337078
1342.5	241.0	235.20670391061452
1350.0	242.0	235.24444444444444
1357.5	225.0	235.1878453038674
1365.0	230.0	235.15934065934067
1372.5	223.0	235.0928961748634
1380.0	242.0	235.1304347826087
1387.5	214.0	235.0162162162162
1395.0	215.0	234.90860215053763
1402.5	237.0	234.91978609625667
1410.0	227.0	234.87765957446808
1417.5	217.0	234.78306878306879
1425.0	222.0	234.7157894736842
1432.5	251.0	234.80104712041884
1440.0	215.0	234.69791666666666
1447.5	227.0	234.6580310880829
1455.0	250.0	234.73711340206185
1462.5	246.0	234.7948717948718
1470.0	222.0	234.7295918367347
1477.5	233.0	234.72081218274113
1485.0	235.0	234.72222222222223
1492.5	212.0	234.60804020100502
1500.0	212.0	234.495
1507.5	243.0	234.53731343283582
1515.0	233.0	234.52970297029702
1522.5	226.0	234.48768472906403
